"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Extractor";NA;12;0
"Unit";"Overlord";"Larva";15;0
"Building";"SpawningPool";NA;14;0
"Unit";"Zergling";"Larva";16;1
"Unit";"Zergling";"Larva";16;1
"Unit";"Zergling";"Larva";16;1
"Unit";"Zergling";"Larva";16;1
"Unit";"Zergling";"Larva";16;1
"Unit";"Zergling";"Larva";16;1
"Unit";"Queen";"Hatchery";16;2
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Overlord";"Larva";22;0
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";28;1
"Building";"BanelingNest";NA;22;0
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";28;1
"Unit";"Baneling";"Zergling";32;0
"Unit";"Baneling";"Zergling";32;0
"Unit";"Baneling";"Zergling";32;0
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Overlord";"Larva";46;0
"Unit";"Overlord";"Larva";50;0
"Building";"Hatchery";NA;40;0
"Building";"RoachWarren";NA;50;0
"Unit";"Overlord";"Larva";52;0
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";60;2
"Unit";"Roach";"Larva";62;2
"Unit";"Roach";"Larva";66;2
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Baneling";"Zergling";78;0
"Unit";"Baneling";"Zergling";78;0
"Unit";"Zergling";"Larva";78;1
"Unit";"Zergling";"Larva";78;1
"Unit";"Overlord";"Larva";78;0
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";94;1
"Unit";"Zergling";"Larva";94;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
