"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Building";"Refinery";NA;16;0
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Unit";"Marine";"Barracks";17;1
"Unit";"Marine";"Barracks";18;1
"Unit";"Marine";"Barracks";20;1
"Building";"SupplyDepot";NA;18;0
"Building";"Bunker";NA;18;0
"Unit";"Marine";"Barracks";21;1
"Building";"Bunker";NA;20;0
"Unit";"Marine";"Barracks";22;1
"Unit";"SCV";"Command Center";24;1
"Unit";"Marine";"Barracks";23;1
"Building";"Bunker";NA;23;0
"Unit";"Marine";"Barracks";24;1
"Unit";"SCV";"Command Center";24;1
"Building";"SupplyDepot";NA;24;0
"Unit";"Marine";"Barracks";25;1
"Unit";"Marine";"Barracks";26;1
"Unit";"Marine";"Barracks";28;1
"Unit";"SCV";"Command Center";30;1
"Building";"Refinery";NA;29;0
"Unit";"Marine";"Barracks";30;1
"Building";"SupplyDepot";NA;30;0
"Unit";"Marine";"Barracks";31;1
"Building";"Factory";NA;28;0
"Unit";"SCV";"Command Center";31;1
"Unit";"Marine";"Barracks";32;1
"Unit";"SCV";"Command Center";34;1
"Unit";"Marine";"Barracks";35;1
"Unit";"Marine";"Barracks";36;1
"Building";"Bunker";NA;35;0
"Unit";"Marine";"Barracks";38;1
"Unit";"SCV";"Command Center";39;1
"Building";"SupplyDepot";NA;39;0
"Building";"Starport";NA;38;0
"Unit";"Cyclone";"Factory";39;3
"Unit";"SCV";"Command Center";41;1
"Building";"StarportTechLab";NA;41;0
"Building";"SupplyDepot";NA;45;0
"Unit";"Cyclone";"Factory";45;3
"Unit";"SCV";"Command Center";45;1
"Unit";"Banshee";"Starport";45;3
"Unit";"SCV";"Command Center";49;1
"Unit";"SCV";"Command Center";53;1
"Building";"BarracksTechLab";NA;53;0
"Unit";"Cyclone";"Factory";54;3
"Building";"BarracksReactor";NA;53;0
"Unit";"SCV";"Command Center";54;1
"Building";"CommandCenter";NA;49;0
"Unit";"Banshee";"Starport";53;3
"Unit";"Marauder";"Barracks";54;2
"Building";"Barracks";NA;54;0
