"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"Stargate";NA;25
"Unit";"Adept";"Gateway";27
"Unit";"Phoenix";"Stargate";34
"Building";"RoboticsFacility";NA;40
"Building";"Pylon";NA;41
"Building";"TwilightCouncil";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Upgrade";"Charge";"TwilightCouncil";43
"Building";"Gateway";NA;43
"Unit";"Zealot";"Gateway";43
"Building";"Pylon";NA;45
"Building";"Pylon";NA;45
"Building";"Pylon";NA;45
"Unit";"Zealot";"Gateway";45
"Unit";"Zealot";"Gateway";47
"Unit";"Zealot";"Gateway";49
"Unit";"Zealot";"Gateway";51
"Unit";"Zealot";"Gateway";53
"Unit";"Zealot";"Gateway";55
"Building";"Pylon";NA;57
"Unit";"Zealot";"Gateway";57
"Unit";"Zealot";"Gateway";59
"Unit";"Zealot";"Gateway";61
"Unit";"Zealot";"Gateway";63
"Unit";"Zealot";"Gateway";65
"Unit";"Zealot";"Gateway";67
"Unit";"Zealot";"Gateway";69
"Unit";"Zealot";"Gateway";71
"Unit";"Zealot";"Gateway";73
"Unit";"Zealot";"Gateway";75
"Unit";"Zealot";"Gateway";77
"Unit";"Zealot";"Gateway";79
"Unit";"Zealot";"Gateway";81
"Unit";"Zealot";"Gateway";83
"Unit";"Zealot";"Gateway";85
"Unit";"Zealot";"Gateway";87
"Unit";"Zealot";"Gateway";89
"Unit";"Zealot";"Gateway";91
"Unit";"Zealot";"Gateway";93
"Unit";"Zealot";"Gateway";95
"Unit";"Zealot";"Gateway";97
"Unit";"Zealot";"Gateway";99
"Unit";"Zealot";"Gateway";101
"Unit";"Zealot";"Gateway";103
"Unit";"Zealot";"Gateway";105
"Unit";"Zealot";"Gateway";107
"Unit";"Zealot";"Gateway";109
"Unit";"Zealot";"Gateway";111
"Unit";"Zealot";"Gateway";113
"Unit";"Zealot";"Gateway";115
"Unit";"Zealot";"Gateway";117
"Unit";"Zealot";"Gateway";119
"Unit";"Zealot";"Gateway";121
"Unit";"Zealot";"Gateway";123
"Unit";"Zealot";"Gateway";125
"Unit";"Zealot";"Gateway";127
"Upgrade";"SprayProtoss";NA;129
"Upgrade";"SprayProtoss";NA;129
"Upgrade";"WarpGateResearch";NA;129
