"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;14;0
"Building";"Pylon";NA;18;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Assimilator";NA;21;0
"Building";"Gateway";NA;19;0
"Unit";"Stalker";"Gateway";21;2
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";22;2
"Unit";"Stalker";"Gateway";23;2
"Unit";"Stalker";"Gateway";25;2
"Unit";"Stalker";"Gateway";27;2
"Building";"Pylon";NA;31;0
"Unit";"Stalker";"Gateway";31;2
"Building";"ShieldBattery";NA;31;0
"Building";"ShieldBattery";NA;33;0
"Building";"Stargate";NA;35;0
"Unit";"Adept";"Gateway";35;2
"Unit";"Sentry";"Gateway";35;2
"Building";"Pylon";NA;35;0
"Building";"Pylon";NA;40;0
"Unit";"Adept";"Gateway";40;2
"Building";"ShieldBattery";NA;40;0
"Building";"ShieldBattery";NA;40;0
"Building";"Nexus";NA;35;0
"Unit";"Adept";"Gateway";44;2
"Unit";"Adept";"Gateway";44;2
"Building";"ShieldBattery";NA;44;0
"Unit";"Adept";"Gateway";49;2
"Unit";"Adept";"Gateway";50;2
"Unit";"Stalker";"Gateway";57;2
"Unit";"Stalker";"Gateway";57;2
