"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;17;0
"Building";"Pylon";NA;18;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Stalker";"Gateway";23;2
"Building";"RoboticsFacility";NA;23;0
"Building";"Gateway";NA;23;0
"Building";"Gateway";NA;23;0
"Unit";"Immortal";"Robotics Facility";25;4
"Building";"Gateway";NA;25;0
"Building";"Pylon";NA;25;0
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Building";"Pylon";NA;43;0
"Unit";"Observer";"Robotics Facility";43;1
"Unit";"Observer";"Robotics Facility";44;1
"Building";"TwilightCouncil";NA;43;0
"Building";"Nexus";NA;43;0
"Unit";"Zealot";"Gateway";57;2
"Unit";"Zealot";"Gateway";57;2
"Unit";"Zealot";"Gateway";57;2
"Unit";"Zealot";"Gateway";57;2
"Building";"DarkShrine";NA;48;0
"Building";"Pylon";NA;65;0
"Building";"Gateway";NA;52;0
"Building";"Gateway";NA;52;0
"Unit";"Stalker";"Gateway";65;2
"Building";"Gateway";NA;53;0
"Unit";"Stalker";"Gateway";65;2
"Upgrade";"Charge";"TwilightCouncil";51;0
"Unit";"Stalker";"Gateway";70;2
"Unit";"Stalker";"Gateway";70;2
"Building";"DarkTemplar";NA;76;0
"Building";"DarkTemplar";NA;76;0
"Building";"DarkTemplar";NA;76;0
"Building";"DarkTemplar";NA;78;0
"Unit";"Zealot";"Gateway";78;2
"Unit";"Zealot";"Gateway";78;2
"Unit";"Zealot";"Gateway";78;2
"Building";"Pylon";NA;84;0
"Building";"Pylon";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Unit";"Zealot";"Gateway";84;2
"Unit";"Zealot";"Gateway";84;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
