"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;19;0
"Building";"BarracksReactor";NA;20;0
"Unit";"Marine";"Barracks";21;1
"Unit";"Marine";"Barracks";21;1
"Building";"Factory";NA;20;0
"Building";"CommandCenter";NA;19;0
"Unit";"Hellion";"Factory";25;2
"Unit";"Hellion";"Factory";25;2
"Building";"BarracksTechLab";NA;25;0
"Building";"Starport";NA;24;0
"Unit";"Hellion";"Factory";31;2
"Unit";"Hellion";"Factory";31;2
"Building";"BarracksTechLab";NA;38;0
"Unit";"Marine";"Barracks";44;1
"Unit";"Banshee";"Starport";41;3
"Building";"EngineeringBay";NA;44;0
"Building";"EngineeringBay";NA;44;0
"Building";"CommandCenter";NA;40;0
"Unit";"Marine";"Barracks";47;1
"Building";"Barracks";NA;44;0
"Building";"Barracks";NA;44;0
"Building";"Refinery";NA;52;0
"Building";"Barracks";NA;46;0
"Unit";"Marine";"Barracks";53;1
"Unit";"Banshee";"Starport";52;3
"Unit";"Marine";"Barracks";58;1
"Unit";"Marine";"Barracks";64;1
"Building";"BarracksReactor";NA;61;0
"Building";"BarracksReactor";NA;61;0
"Building";"BarracksReactor";NA;61;0
"Building";"Refinery";NA;66;0
"Unit";"Marine";"Barracks";69;1
"Upgrade";"Stimpack";"TechLab";52;0
"Building";"Barracks";NA;61;0
"Building";"Barracks";NA;64;0
"Unit";"Marine";"Barracks";73;1
"Unit";"Marine";"Barracks";73;1
"Unit";"Marine";"Barracks";73;1
"Building";"Armory";NA;66;0
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";58;0
"Unit";"Marine";"Barracks";78;1
"Unit";"Marine";"Barracks";78;1
"Unit";"Marine";"Barracks";78;1
"Unit";"Marine";"Barracks";78;1
"Unit";"Marine";"Barracks";78;1
"Upgrade";"TerranInfantryArmorsLevel1";"EngineeringBay";59;0
"Unit";"Marine";"Barracks";78;1
"Unit";"Medivac";"Starport";78;2
"Unit";"Marine";"Barracks";82;1
"Unit";"Marine";"Barracks";89;1
"Unit";"Marine";"Barracks";89;1
"Unit";"Marine";"Barracks";89;1
"Building";"BarracksTechLab";NA;90;0
"Unit";"Marine";"Barracks";93;1
"Unit";"Marine";"Barracks";93;1
"Unit";"Marine";"Barracks";93;1
"Unit";"Marine";"Barracks";93;1
"Unit";"Marine";"Barracks";93;1
"Building";"BarracksReactor";NA;90;0
"Unit";"Medivac";"Starport";93;2
"Unit";"Medivac";"Starport";93;2
"Unit";"Marine";"Barracks";100;1
"Unit";"Marine";"Barracks";100;1
"Unit";"Marine";"Barracks";100;1
"Unit";"Marine";"Barracks";100;1
"Unit";"Marine";"Barracks";100;1
"Unit";"Marine";"Barracks";100;1
"Unit";"Marauder";"Barracks";100;2
"Unit";"Marine";"Barracks";101;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Marine";"Barracks";105;1
"Unit";"Medivac";"Starport";101;2
"Unit";"Medivac";"Starport";103;2
"Unit";"Marine";"Barracks";113;1
"Unit";"Marauder";"Barracks";111;2
"Unit";"Marine";"Barracks";114;1
"Unit";"Marine";"Barracks";115;1
"Unit";"Marine";"Barracks";116;1
"Unit";"Marine";"Barracks";116;1
"Unit";"Marine";"Barracks";116;1
"Unit";"Marine";"Barracks";116;1
"Unit";"Marine";"Barracks";116;1
"Unit";"Marauder";"Barracks";116;2
"Unit";"Marine";"Barracks";126;1
"Unit";"Marauder";"Barracks";127;2
"Unit";"Marine";"Barracks";129;1
"Unit";"Marine";"Barracks";130;1
"Unit";"Marine";"Barracks";131;1
"Unit";"Marine";"Barracks";131;1
"Unit";"Marine";"Barracks";131;1
"Unit";"Marine";"Barracks";131;1
"Unit";"Marine";"Barracks";131;1
"Unit";"Marine";"Barracks";136;1
"Unit";"Marine";"Barracks";138;1
"Unit";"Marine";"Barracks";141;1
"Unit";"Marine";"Barracks";142;1
"Unit";"Marauder";"Barracks";139;2
"Unit";"Marine";"Barracks";143;1
"Unit";"Marine";"Barracks";143;1
"Unit";"Marine";"Barracks";143;1
"Unit";"Marine";"Barracks";143;1
"Unit";"Marine";"Barracks";143;1
"Unit";"Marine";"Barracks";148;1
"Unit";"Marine";"Barracks";149;1
"Unit";"Marine";"Barracks";150;1
"Unit";"Marine";"Barracks";151;1
"Unit";"Marine";"Barracks";152;1
"Unit";"Marine";"Barracks";154;1
"Unit";"Marine";"Barracks";163;1
"Unit";"Marine";"Barracks";163;1
"Unit";"Marine";"Barracks";163;1
"Unit";"Marine";"Barracks";163;1
"Unit";"Marine";"Barracks";163;1
"Unit";"Marine";"Barracks";167;1
"Unit";"Marine";"Barracks";167;1
"Unit";"Marine";"Barracks";167;1
"Unit";"Marine";"Barracks";172;1
"Unit";"Marine";"Barracks";172;1
"Unit";"Marine";"Barracks";172;1
"Unit";"Marine";"Barracks";172;1
"Unit";"Marine";"Barracks";172;1
"Unit";"Marine";"Barracks";176;1
"Unit";"Marine";"Barracks";176;1
"Unit";"Marine";"Barracks";176;1
"Unit";"Marine";"Barracks";176;1
