"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;14;0
"Building";"Assimilator";NA;15;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;18;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;23;0
"Unit";"Stalker";"Gateway";23;2
"Building";"Stargate";NA;22;0
"Building";"Gateway";NA;23;0
"Unit";"Stalker";"Gateway";25;2
"Building";"TwilightCouncil";NA;25;0
"Unit";"Zealot";"Gateway";27;2
"Unit";"Zealot";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Zealot";"Gateway";33;2
"Unit";"Zealot";"Gateway";33;2
