"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";18;1
"Building";"SupplyDepot";NA;18;0
"Unit";"Marine";"Barracks";18;1
"Unit";"Marine";"Barracks";18;1
"Unit";"SCV";"Command Center";20;1
"Unit";"Marine";"Barracks";19;1
"Unit";"Marine";"Barracks";20;1
"Unit";"SCV";"Command Center";23;1
"Unit";"Marine";"Barracks";22;1
"Unit";"SCV";"Command Center";24;1
"Unit";"Marine";"Barracks";23;1
"Unit";"SCV";"Command Center";26;1
"Unit";"SCV";"Command Center";28;1
"Building";"Bunker";NA;26;0
"Unit";"Marine";"Barracks";29;1
"Unit";"Marine";"Barracks";29;1
"Unit";"SCV";"Command Center";29;1
"Unit";"SCV";"Command Center";33;1
"Unit";"Marine";"Barracks";33;1
"Unit";"Marine";"Barracks";33;1
"Building";"SupplyDepot";NA;33;0
"Unit";"SCV";"Command Center";33;1
"Building";"Refinery";NA;34;0
"Unit";"Marine";"Barracks";34;1
"Unit";"Marine";"Barracks";34;1
"Unit";"SCV";"Command Center";36;1
"Building";"CommandCenter";NA;28;0
"Building";"EngineeringBay";NA;36;0
"Unit";"SCV";"Command Center";39;1
"Building";"Refinery";NA;37;0
"Unit";"Marine";"Barracks";37;1
"Unit";"Marine";"Barracks";37;1
"Unit";"SCV";"Command Center";40;1
"Unit";"Marine";"Barracks";41;1
"Unit";"Marine";"Barracks";41;1
"Building";"MissileTurret";NA;43;0
"Unit";"SCV";"Command Center";43;1
"Building";"Bunker";NA;40;0
"Unit";"SCV";"Command Center";44;1
"Unit";"SCV";"Command Center";46;1
"Building";"MissileTurret";NA;44;0
