"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Marine";"Barracks";20;1
"Building";"BarracksReactor";NA;22;0
"Building";"Bunker";NA;22;0
"Building";"Factory";NA;22;0
"Unit";"Marine";"Barracks";23;1
"Unit";"Marine";"Barracks";23;1
"Building";"Refinery";NA;23;0
"Building";"CommandCenter";NA;19;0
"Unit";"Cyclone";"Factory";27;3
"Unit";"Marine";"Barracks";28;1
"Unit";"Marine";"Barracks";28;1
"Building";"Barracks";NA;27;0
"Unit";"Marine";"Barracks";35;1
"Unit";"Marine";"Barracks";35;1
"Building";"FactoryTechLab";NA;35;0
"Building";"Barracks";NA;28;0
"Building";"BarracksTechLab";NA;35;0
"Building";"Starport";NA;38;0
"Unit";"Marine";"Barracks";40;1
"Unit";"Marine";"Barracks";40;1
"Unit";"Marauder";"Barracks";40;2
"Building";"BarracksReactor";NA;38;0
"Building";"FactoryReactor";NA;40;0
"Unit";"Marauder";"Barracks";48;2
"Unit";"Marine";"Barracks";49;1
"Unit";"Medivac";"Starport";50;2
"Unit";"Medivac";"Starport";50;2
"Unit";"Marine";"Barracks";52;1
"Unit";"Marauder";"Barracks";52;2
"Unit";"Marauder";"Barracks";59;2
"Unit";"Marine";"Barracks";62;1
"Unit";"Marine";"Barracks";62;1
"Unit";"Marine";"Barracks";62;1
"Unit";"Marine";"Barracks";62;1
"Unit";"Marine";"Barracks";66;1
"Unit";"Marine";"Barracks";66;1
"Upgrade";"Stimpack";"TechLab";48;0
"Unit";"Marauder";"Barracks";66;2
"Unit";"Marine";"Barracks";68;1
"Unit";"Marauder";"Barracks";67;2
"Building";"Refinery";NA;68;0
"Unit";"Medivac";"Starport";67;2
"Unit";"Marine";"Barracks";72;1
"Unit";"Marauder";"Barracks";70;2
"Unit";"Marauder";"Barracks";75;2
"Unit";"Medivac";"Starport";79;2
"Unit";"Marine";"Barracks";86;1
"Unit";"Marine";"Barracks";86;1
"Building";"BarracksTechLab";NA;86;0
"Unit";"Marauder";"Barracks";86;2
"Unit";"Marine";"Barracks";92;1
"Unit";"Marine";"Barracks";92;1
"Unit";"Marauder";"Barracks";92;2
"Unit";"Marauder";"Barracks";92;2
"Unit";"Marine";"Barracks";96;1
"Unit";"Marine";"Barracks";96;1
"Unit";"Marine";"Barracks";96;1
"Unit";"Liberator";"Starport";92;3
"Unit";"Marauder";"Barracks";98;2
