"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Pylon";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;22;0
"Building";"CyberneticsCore";NA;21;0
"Unit";"Stalker";"Gateway";23;2
"Building";"Assimilator";NA;24;0
"Building";"TwilightCouncil";NA;25;0
"Building";"Forge";NA;26;0
"Unit";"Stalker";"Gateway";29;2
"Building";"Gateway";NA;29;0
"Building";"Pylon";NA;33;0
"Building";"Pylon";NA;34;0
"Building";"PhotonCannon";NA;33;0
"Building";"DarkShrine";NA;31;0
"Building";"DarkTemplar";NA;38;0
"Building";"DarkTemplar";NA;38;0
"Unit";"Stalker";"Gateway";40;2
"Unit";"Stalker";"Gateway";43;2
"Building";"Nexus";NA;37;0
"Unit";"Stalker";"Gateway";46;2
"Unit";"Stalker";"Gateway";50;2
"Building";"Gateway";NA;45;0
"Unit";"Stalker";"Gateway";56;2
"Unit";"Stalker";"Gateway";56;2
"Unit";"Stalker";"Gateway";56;2
"Building";"Gateway";NA;53;0
"Building";"Gateway";NA;54;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";46;0
"Building";"Pylon";NA;63;0
"Building";"Assimilator";NA;63;0
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";65;2
"Unit";"Stalker";"Gateway";72;2
"Unit";"Stalker";"Gateway";72;2
"Unit";"Stalker";"Gateway";72;2
"Unit";"Stalker";"Gateway";78;2
"Unit";"Stalker";"Gateway";78;2
"Unit";"Stalker";"Gateway";78;2
"Unit";"Stalker";"Gateway";78;2
