"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;16
"Building";"SpawningPool";NA;18
"Building";"Extractor";NA;19
"Unit";"Overlord";"Larva";22
"Unit";"Queen";"Hatchery";23
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Queen";"Hatchery";27
"Unit";"Queen";"Hatchery";35
"Building";"Hatchery";NA;38
"Unit";"Overlord";"Larva";38
"Unit";"Overlord";"Larva";41
"Building";"CreepTumorQueen";NA;41
"Building";"CreepTumorQueen";NA;41
"Unit";"Queen";"Hatchery";45
"Unit";"Overlord";"Larva";47
"Building";"CreepTumor";NA;51
"Building";"CreepTumor";NA;51
"Building";"BanelingNest";NA;51
"Unit";"Zergling";"Larva";51
"Unit";"Zergling";"Larva";52
"Building";"CreepTumorQueen";NA;53
"Building";"CreepTumorQueen";NA;53
"Unit";"Overlord";"Larva";56
"Unit";"Overlord";"Larva";56
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Building";"SporeCrawler";NA;60
"Building";"CreepTumor";NA;60
"Unit";"Queen";"Hatchery";60
"Building";"CreepTumor";NA;62
"Unit";"Zergling";"Larva";62
"Unit";"Zergling";"Larva";63
"Unit";"Zergling";"Larva";64
"Unit";"Zergling";"Larva";65
"Unit";"Zergling";"Larva";66
"Unit";"Zergling";"Larva";67
"Unit";"Overlord";"Larva";69
"Unit";"Overlord";"Larva";69
"Building";"CreepTumor";NA;70
"Building";"CreepTumor";NA;70
"Building";"SporeCrawler";NA;70
"Building";"SporeCrawler";NA;70
"Building";"EvolutionChamber";NA;71
"Building";"EvolutionChamber";NA;71
"Building";"CreepTumorQueen";NA;76
"Unit";"Overlord";"Larva";77
"Unit";"Baneling";"Zergling";79
"Unit";"Baneling";"Zergling";79
"Unit";"Baneling";"Zergling";79
"Building";"Extractor";NA;79
"Building";"CreepTumor";NA;79
"Building";"CreepTumorQueen";NA;80
"Building";"CreepTumor";NA;80
"Building";"CreepTumorQueen";NA;80
"Unit";"Zergling";"Larva";80
"Unit";"Zergling";"Larva";81
"Building";"CreepTumor";NA;82
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Baneling";"Zergling";90
"Unit";"Overlord";"Larva";94
"Unit";"Overlord";"Larva";97
"Building";"CreepTumorQueen";NA;104
"Building";"Extractor";NA;104
"Building";"Extractor";NA;104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Building";"Extractor";NA;104
"Unit";"Zergling";"Larva";104
"Unit";"Zergling";"Larva";105
"Building";"Extractor";NA;106
"Unit";"Zergling";"Larva";106
"Unit";"Zergling";"Larva";107
"Unit";"Queen";"Hatchery";108
"Building";"CreepTumor";NA;111
"Unit";"Zergling";"Larva";111
"Unit";"Zergling";"Larva";112
"Unit";"Zergling";"Larva";113
"Unit";"Zergling";"Larva";114
"Building";"CreepTumor";NA;115
"Building";"RoachWarren";NA;115
"Unit";"Zergling";"Larva";115
"Unit";"Zergling";"Larva";116
"Building";"CreepTumorQueen";NA;118
"Building";"CreepTumorQueen";NA;120
"Building";"SporeCrawler";NA;120
"Building";"EvolutionChamber";NA;121
"Building";"CreepTumor";NA;122
"Building";"Hatchery";NA;125
"Unit";"Baneling";"Zergling";126
"Unit";"Baneling";"Zergling";126
"Unit";"Zergling";"Larva";128
"Unit";"Zergling";"Larva";129
"Unit";"Zergling";"Larva";130
"Unit";"Zergling";"Larva";131
"Unit";"Zergling";"Larva";133
"Unit";"Zergling";"Larva";134
"Building";"HydraliskDen";NA;135
"Building";"CreepTumor";NA;135
"Building";"CreepTumor";NA;135
"Building";"CreepTumor";NA;135
"Building";"CreepTumorQueen";NA;135
"Unit";"Zergling";"Larva";135
"Unit";"Zergling";"Larva";136
"Building";"CreepTumor";NA;137
"Unit";"Overlord";"Larva";137
"Unit";"Roach";"Larva";137
"Unit";"Roach";"Larva";139
"Unit";"Roach";"Larva";141
"Building";"CreepTumor";NA;143
"Unit";"Overlord";"Larva";147
"Unit";"Overlord";"Larva";147
"Building";"SporeCrawler";NA;147
"Unit";"Roach";"Larva";147
"Unit";"Overlord";"Larva";149
"Unit";"Overlord";"Larva";149
"Unit";"Hydralisk";"Larva";151
"Unit";"Hydralisk";"Larva";153
"Building";"CreepTumor";NA;156
"Unit";"Queen";"Hatchery";156
"Unit";"Overlord";"Larva";158
"Unit";"Hydralisk";"Larva";158
"Unit";"Hydralisk";"Larva";160
"Unit";"Overlord";"Larva";162
"Unit";"Hydralisk";"Larva";162
"Building";"CreepTumorQueen";NA;164
"Unit";"Hydralisk";"Larva";164
"Unit";"Hydralisk";"Larva";166
"Unit";"Hydralisk";"Larva";168
"Building";"CreepTumor";NA;170
"Building";"CreepTumor";NA;170
"Unit";"Hydralisk";"Larva";170
"Unit";"Hydralisk";"Larva";172
"Unit";"Hydralisk";"Larva";176
"Building";"SporeCrawler";NA;178
"Building";"SpineCrawler";NA;178
"Unit";"Hydralisk";"Larva";178
"Unit";"Hydralisk";"Larva";180
"Building";"InfestationPit";NA;184
"Building";"Extractor";NA;184
"Building";"Extractor";NA;184
"Unit";"Roach";"Larva";185
"Unit";"Roach";"Larva";187
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Unit";"Zergling";"Larva";191
"Unit";"Zergling";"Larva";192
"Building";"CreepTumor";NA;193
"Building";"CreepTumorQueen";NA;193
"Unit";"Zergling";"Larva";194
"Unit";"Zergling";"Larva";195
"Unit";"Zergling";"Larva";197
"Unit";"Zergling";"Larva";198
"Unit";"Overlord";"Larva";200
"Building";"Spire";NA;201
"Building";"CreepTumor";NA;202
"Building";"CreepTumor";NA;202
"Building";"CreepTumorQueen";NA;202
"Building";"Hatchery";NA;202
"Unit";"Zergling";"Larva";202
"Unit";"Zergling";"Larva";203
"Unit";"Zergling";"Larva";204
"Unit";"Zergling";"Larva";205
"Unit";"Queen";"Hatchery";206
"Building";"CreepTumor";NA;208
"Building";"CreepTumor";NA;208
"Building";"CreepTumor";NA;210
"Unit";"Zergling";"Larva";210
"Unit";"Zergling";"Larva";211
"Unit";"Zergling";"Larva";212
"Unit";"Zergling";"Larva";213
"Building";"SpineCrawler";NA;214
"Building";"SporeCrawler";NA;214
"Unit";"Zergling";"Larva";214
"Unit";"Zergling";"Larva";215
"Building";"EvolutionChamber";NA;216
"Building";"EvolutionChamber";NA;216
"Building";"SpineCrawler";NA;216
"Unit";"Zergling";"Larva";216
"Unit";"Zergling";"Larva";217
"Unit";"Zergling";"Larva";218
"Unit";"Zergling";"Larva";219
"Unit";"Zergling";"Larva";220
"Unit";"Zergling";"Larva";221
"Unit";"Zergling";"Larva";222
"Unit";"Zergling";"Larva";223
"Unit";"Zergling";"Larva";224
"Unit";"Zergling";"Larva";225
"Unit";"Zergling";"Larva";226
"Unit";"Zergling";"Larva";227
"Unit";"Zergling";"Larva";228
"Unit";"Zergling";"Larva";229
"Unit";"Zergling";"Larva";230
"Unit";"Zergling";"Larva";231
"Unit";"Zergling";"Larva";232
"Unit";"Zergling";"Larva";233
"Building";"CreepTumor";NA;234
"Building";"CreepTumor";NA;234
"Building";"CreepTumor";NA;234
"Unit";"Queen";"Hatchery";234
"Building";"CreepTumor";NA;236
"Unit";"Viper";"Larva";239
"Unit";"Viper";"Larva";242
"Unit";"Viper";"Larva";245
"Unit";"Viper";"Larva";248
"Unit";"Hydralisk";"Larva";251
"Unit";"Hydralisk";"Larva";253
"Unit";"Hydralisk";"Larva";255
"Unit";"Hydralisk";"Larva";257
"Unit";"Hydralisk";"Larva";259
"Unit";"Hydralisk";"Larva";261
