"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"Extractor";NA;19;0
"Building";"Hatchery";NA;16;0
"Unit";"Overlord";"Larva";22;0
"Building";"Hatchery";NA;19;0
"Building";"SpawningPool";NA;21;0
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Queen";"Hatchery";24;2
"Unit";"Queen";"Hatchery";25;2
"Unit";"Queen";"Hatchery";25;2
"Building";"CreepTumorQueen";NA;38;0
"Unit";"Overlord";"Larva";35;0
"Unit";"Overlord";"Larva";42;0
"Unit";"Overlord";"Larva";42;0
"Building";"SporeCrawler";NA;44;0
"Building";"SporeCrawler";NA;48;0
"Unit";"Overlord";"Larva";49;0
"Building";"RoachWarren";NA;48;0
"Building";"CreepTumorQueen";NA;54;0
"Unit";"Overlord";"Larva";53;0
"Unit";"Queen";"Hatchery";53;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Roach";"Larva";54;2
"Unit";"Overlord";"Larva";54;0
"Building";"CreepTumor";NA;54;0
"Unit";"Overlord";"Larva";56;0
"Building";"CreepTumorQueen";NA;76;0
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Queen";"Hatchery";76;2
"Unit";"Zergling";"Larva";77;1
"Unit";"Zergling";"Larva";77;1
"Unit";"Zergling";"Larva";77;1
"Unit";"Zergling";"Larva";77;1
"Unit";"Roach";"Larva";89;2
"Unit";"Roach";"Larva";89;2
"Unit";"Roach";"Larva";89;2
"Unit";"Roach";"Larva";89;2
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Queen";"Hatchery";87;2
"Unit";"Queen";"Hatchery";87;2
"Upgrade";"GlialReconstitution";"RoachWarren";77;0
"Unit";"Roach";"Larva";109;2
"Unit";"Roach";"Larva";109;2
"Unit";"Zergling";"Larva";119;1
"Unit";"Zergling";"Larva";119;1
"Unit";"Zergling";"Larva";119;1
"Unit";"Zergling";"Larva";119;1
"Unit";"Roach";"Larva";119;2
"Unit";"Roach";"Larva";119;2
"Unit";"Roach";"Larva";119;2
"Unit";"Zergling";"Larva";123;1
"Unit";"Zergling";"Larva";123;1
"Unit";"Zergling";"Larva";123;1
"Unit";"Zergling";"Larva";123;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Queen";"Hatchery";119;2
"Unit";"Queen";"Hatchery";119;2
