"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;18
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";23
"Unit";"Queen";"Hatchery";23
"Unit";"Queen";"Hatchery";25
"Unit";"Zergling";"Larva";27
"Unit";"Zergling";"Larva";28
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";30
"Unit";"Zergling";"Larva";31
"Unit";"Zergling";"Larva";32
"Building";"Hatchery";NA;33
"Unit";"Zergling";"Larva";33
"Unit";"Zergling";"Larva";34
"Unit";"Zergling";"Larva";35
"Unit";"Zergling";"Larva";36
"Unit";"Zergling";"Larva";37
"Unit";"Zergling";"Larva";38
"Unit";"Overlord";"Larva";42
"Unit";"Overlord";"Larva";46
"Building";"CreepTumorQueen";NA;50
"Building";"SporeCrawler";NA;56
"Building";"SporeCrawler";NA;56
"Unit";"Queen";"Hatchery";56
"Building";"SporeCrawler";NA;66
"Unit";"Overlord";"Larva";66
"Building";"EvolutionChamber";NA;67
"Building";"Extractor";NA;68
"Unit";"Overlord";"Larva";75
"Building";"CreepTumor";NA;75
"Unit";"Queen";"Hatchery";75
"Unit";"Overlord";"Larva";77
"Building";"BanelingNest";NA;81
"Unit";"Overlord";"Larva";83
"Unit";"Zergling";"Larva";83
"Unit";"Zergling";"Larva";84
"Unit";"Zergling";"Larva";85
"Unit";"Zergling";"Larva";86
"Unit";"Zergling";"Larva";87
"Unit";"Zergling";"Larva";88
"Unit";"Zergling";"Larva";89
"Unit";"Zergling";"Larva";90
"Unit";"Zergling";"Larva";91
"Unit";"Zergling";"Larva";92
"Unit";"Zergling";"Larva";93
"Unit";"Zergling";"Larva";94
"Unit";"Zergling";"Larva";95
"Unit";"Zergling";"Larva";96
"Unit";"Zergling";"Larva";97
"Unit";"Zergling";"Larva";98
"Unit";"Zergling";"Larva";99
"Unit";"Zergling";"Larva";100
"Unit";"Zergling";"Larva";101
"Unit";"Zergling";"Larva";102
"Unit";"Zergling";"Larva";103
"Unit";"Zergling";"Larva";104
"Unit";"Queen";"Hatchery";105
"Unit";"Zergling";"Larva";107
"Unit";"Zergling";"Larva";108
"Unit";"Zergling";"Larva";109
"Unit";"Zergling";"Larva";110
"Unit";"Zergling";"Larva";111
"Unit";"Zergling";"Larva";112
"Unit";"Zergling";"Larva";113
"Unit";"Zergling";"Larva";114
"Unit";"Zergling";"Larva";115
"Unit";"Zergling";"Larva";116
"Unit";"Zergling";"Larva";117
"Unit";"Zergling";"Larva";118
"Unit";"Zergling";"Larva";119
"Unit";"Zergling";"Larva";120
"Unit";"Zergling";"Larva";121
"Unit";"Zergling";"Larva";122
"Unit";"Zergling";"Larva";123
"Unit";"Zergling";"Larva";124
"Unit";"Overlord";"Larva";128
"Unit";"Overlord";"Larva";128
"Unit";"Overlord";"Larva";128
"Building";"HydraliskDen";NA;128
"Building";"CreepTumorQueen";NA;128
"Unit";"Overlord";"Larva";129
"Unit";"Overlord";"Larva";137
"Unit";"Zergling";"Larva";137
"Unit";"Zergling";"Larva";138
"Unit";"Zergling";"Larva";139
"Unit";"Zergling";"Larva";140
"Unit";"Zergling";"Larva";141
"Unit";"Zergling";"Larva";142
"Building";"Extractor";NA;143
"Building";"Extractor";NA;143
"Building";"Extractor";NA;143
"Unit";"Zergling";"Larva";143
"Unit";"Zergling";"Larva";144
"Unit";"Zergling";"Larva";145
"Unit";"Zergling";"Larva";146
"Unit";"Zergling";"Larva";147
"Unit";"Zergling";"Larva";148
"Building";"Extractor";NA;149
"Building";"CreepTumor";NA;149
"Building";"CreepTumorQueen";NA;149
"Building";"CreepTumorQueen";NA;149
"Building";"Hatchery";NA;154
"Building";"EvolutionChamber";NA;160
"Unit";"Overlord";"Larva";163
"Building";"Hatchery";NA;163
"Unit";"Zergling";"Larva";163
"Unit";"Zergling";"Larva";164
"Unit";"Zergling";"Larva";165
"Unit";"Zergling";"Larva";166
"Unit";"Zergling";"Larva";167
"Unit";"Zergling";"Larva";168
"Unit";"Zergling";"Larva";169
"Unit";"Zergling";"Larva";170
"Unit";"Zergling";"Larva";171
"Unit";"Zergling";"Larva";172
"Unit";"Zergling";"Larva";173
"Unit";"Zergling";"Larva";174
"Unit";"Zergling";"Larva";175
"Unit";"Zergling";"Larva";176
"Unit";"Zergling";"Larva";177
"Unit";"Zergling";"Larva";178
"Unit";"Zergling";"Larva";179
"Unit";"Zergling";"Larva";180
"Unit";"Zergling";"Larva";181
"Unit";"Zergling";"Larva";182
"Unit";"Zergling";"Larva";183
"Unit";"Zergling";"Larva";184
"Unit";"Zergling";"Larva";185
"Unit";"Zergling";"Larva";186
"Unit";"Zergling";"Larva";187
"Unit";"Zergling";"Larva";188
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Building";"Spire";NA;191
"Building";"CreepTumor";NA;191
"Building";"CreepTumor";NA;191
"Building";"CreepTumor";NA;194
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"SporeCrawler";NA;206
"Unit";"Hydralisk";"Larva";206
"Unit";"Hydralisk";"Larva";208
"Unit";"Hydralisk";"Larva";210
"Unit";"Hydralisk";"Larva";212
"Unit";"Hydralisk";"Larva";214
"Unit";"Hydralisk";"Larva";216
"Unit";"Hydralisk";"Larva";218
"Unit";"Hydralisk";"Larva";220
"Unit";"Hydralisk";"Larva";222
"Building";"CreepTumor";NA;224
"Building";"CreepTumor";NA;224
"Building";"CreepTumor";NA;224
"Building";"CreepTumor";NA;224
"Building";"CreepTumor";NA;224
"Building";"CreepTumor";NA;224
"Building";"CreepTumorQueen";NA;224
"Unit";"Hydralisk";"Larva";224
"Unit";"Hydralisk";"Larva";226
"Unit";"Hydralisk";"Larva";228
"Unit";"Hydralisk";"Larva";230
"Unit";"Zergling";"Larva";232
"Unit";"Zergling";"Larva";233
"Building";"Extractor";NA;234
"Unit";"Overlord";"Larva";234
"Building";"CreepTumor";NA;237
"Building";"CreepTumorQueen";NA;237
"Building";"CreepTumor";NA;237
"Building";"CreepTumorQueen";NA;237
"Building";"CreepTumor";NA;237
"Unit";"Overlord";"Larva";237
"Building";"CreepTumor";NA;237
"Building";"CreepTumor";NA;237
"Unit";"Hydralisk";"Larva";237
"Unit";"Zergling";"Larva";239
"Unit";"Zergling";"Larva";240
"Unit";"Zergling";"Larva";241
"Unit";"Zergling";"Larva";242
"Unit";"Zergling";"Larva";243
"Unit";"Zergling";"Larva";244
"Unit";"Zergling";"Larva";245
"Unit";"Zergling";"Larva";246
"Unit";"Zergling";"Larva";247
"Unit";"Zergling";"Larva";248
"Unit";"Zergling";"Larva";249
"Unit";"Zergling";"Larva";250
"Unit";"Zergling";"Larva";251
"Unit";"Zergling";"Larva";252
"Unit";"Zergling";"Larva";253
"Unit";"Zergling";"Larva";254
"Unit";"Zergling";"Larva";255
"Unit";"Zergling";"Larva";256
"Unit";"Zergling";"Larva";257
"Unit";"Zergling";"Larva";258
"Unit";"Corruptor";"Larva";259
"Unit";"Corruptor";"Larva";261
"Unit";"Overlord";"Larva";263
"Unit";"Overlord";"Larva";263
"Unit";"Overlord";"Larva";263
"Unit";"Overlord";"Larva";263
"Unit";"Overlord";"Larva";263
"Unit";"Corruptor";"Larva";263
"Unit";"Corruptor";"Larva";265
"Unit";"Corruptor";"Larva";267
"Unit";"Corruptor";"Larva";269
"Unit";"Corruptor";"Larva";271
"Building";"CreepTumor";NA;273
"Building";"CreepTumor";NA;273
"Building";"CreepTumor";NA;273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Baneling";"Zergling";273
"Unit";"Corruptor";"Larva";273
"Unit";"Corruptor";"Larva";275
"Unit";"Corruptor";"Larva";277
"Unit";"Corruptor";"Larva";279
"Unit";"Overlord";"Larva";281
"Unit";"Overlord";"Larva";281
"Unit";"Zergling";"Larva";281
"Unit";"Zergling";"Larva";282
"Unit";"Zergling";"Larva";283
"Unit";"Zergling";"Larva";284
"Unit";"Zergling";"Larva";285
"Unit";"Zergling";"Larva";286
"Unit";"Zergling";"Larva";287
"Unit";"Zergling";"Larva";288
"Unit";"Zergling";"Larva";289
"Unit";"Zergling";"Larva";290
"Unit";"Zergling";"Larva";291
"Unit";"Zergling";"Larva";292
"Unit";"Zergling";"Larva";293
"Unit";"Zergling";"Larva";294
"Unit";"Zergling";"Larva";295
"Unit";"Zergling";"Larva";296
"Unit";"Zergling";"Larva";297
"Unit";"Zergling";"Larva";298
"Unit";"Zergling";"Larva";299
"Unit";"Zergling";"Larva";300
"Unit";"Zergling";"Larva";301
"Unit";"Zergling";"Larva";302
"Building";"CreepTumor";NA;303
"Unit";"Zergling";"Larva";303
"Unit";"Zergling";"Larva";304
"Unit";"Zergling";"Larva";305
"Unit";"Zergling";"Larva";306
"Unit";"Zergling";"Larva";307
"Unit";"Zergling";"Larva";308
"Unit";"Zergling";"Larva";309
"Unit";"Zergling";"Larva";310
"Unit";"Zergling";"Larva";311
"Unit";"Zergling";"Larva";312
"Building";"CreepTumor";NA;313
"Building";"InfestationPit";NA;313
"Building";"CreepTumor";NA;313
"Building";"CreepTumor";NA;313
"Building";"Extractor";NA;313
"Unit";"Zergling";"Larva";316
"Unit";"Zergling";"Larva";317
"Unit";"Zergling";"Larva";318
"Unit";"Zergling";"Larva";319
"Unit";"Zergling";"Larva";320
"Unit";"Zergling";"Larva";321
"Unit";"Zergling";"Larva";322
"Unit";"Zergling";"Larva";323
"Unit";"Zergling";"Larva";324
"Unit";"Zergling";"Larva";325
"Unit";"Zergling";"Larva";326
"Unit";"Zergling";"Larva";327
"Unit";"Zergling";"Larva";328
"Unit";"Zergling";"Larva";329
"Unit";"Zergling";"Larva";330
"Unit";"Zergling";"Larva";331
"Unit";"Zergling";"Larva";332
"Unit";"Zergling";"Larva";333
"Unit";"Zergling";"Larva";334
"Unit";"Zergling";"Larva";335
"Unit";"Zergling";"Larva";336
"Unit";"Zergling";"Larva";337
"Unit";"Zergling";"Larva";338
"Unit";"Zergling";"Larva";339
"Unit";"Zergling";"Larva";340
"Unit";"Zergling";"Larva";341
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Baneling";"Zergling";342
"Unit";"Zergling";"Larva";342
"Unit";"Zergling";"Larva";343
"Unit";"Zergling";"Larva";344
"Unit";"Zergling";"Larva";345
"Unit";"Zergling";"Larva";346
"Unit";"Zergling";"Larva";347
"Unit";"Zergling";"Larva";348
"Unit";"Zergling";"Larva";349
"Unit";"Zergling";"Larva";350
"Unit";"Zergling";"Larva";351
"Unit";"Zergling";"Larva";352
"Unit";"Zergling";"Larva";353
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Baneling";"Zergling";354
"Unit";"Hydralisk";"Larva";354
"Unit";"Zergling";"Larva";356
"Unit";"Zergling";"Larva";357
"Unit";"Zergling";"Larva";358
"Unit";"Zergling";"Larva";359
"Unit";"Zergling";"Larva";360
"Unit";"Zergling";"Larva";361
"Building";"CreepTumor";NA;362
"Unit";"Zergling";"Larva";362
"Unit";"Zergling";"Larva";363
"Unit";"Zergling";"Larva";364
"Unit";"Zergling";"Larva";365
"Unit";"Zergling";"Larva";366
"Unit";"Zergling";"Larva";367
"Unit";"Zergling";"Larva";368
"Unit";"Zergling";"Larva";369
"Unit";"Zergling";"Larva";370
"Unit";"Zergling";"Larva";371
"Unit";"Zergling";"Larva";372
"Unit";"Zergling";"Larva";373
"Unit";"Zergling";"Larva";374
"Unit";"Zergling";"Larva";375
"Unit";"Zergling";"Larva";376
"Unit";"Zergling";"Larva";377
"Unit";"Zergling";"Larva";378
"Unit";"Zergling";"Larva";379
"Unit";"Zergling";"Larva";380
"Unit";"Zergling";"Larva";381
"Unit";"Overlord";"Larva";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Unit";"Baneling";"Zergling";382
"Building";"CreepTumor";NA;382
"Building";"CreepTumor";NA;382
"Building";"CreepTumor";NA;382
"Unit";"Hydralisk";"Larva";382
"Unit";"Zergling";"Larva";384
"Unit";"Zergling";"Larva";385
"Unit";"Zergling";"Larva";386
"Unit";"Zergling";"Larva";387
"Unit";"Zergling";"Larva";388
"Unit";"Zergling";"Larva";389
"Unit";"Zergling";"Larva";390
"Unit";"Zergling";"Larva";391
"Unit";"Zergling";"Larva";392
"Unit";"Zergling";"Larva";393
"Unit";"Zergling";"Larva";394
"Unit";"Zergling";"Larva";395
"Unit";"Zergling";"Larva";396
"Unit";"Zergling";"Larva";397
"Unit";"Zergling";"Larva";398
"Unit";"Zergling";"Larva";399
"Unit";"Zergling";"Larva";400
"Unit";"Zergling";"Larva";401
"Unit";"Zergling";"Larva";402
"Unit";"Zergling";"Larva";403
"Unit";"Zergling";"Larva";404
"Unit";"Zergling";"Larva";405
"Unit";"Zergling";"Larva";406
"Unit";"Zergling";"Larva";407
"Unit";"Zergling";"Larva";408
"Unit";"Zergling";"Larva";409
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Baneling";"Zergling";410
"Unit";"Overlord";"Larva";410
"Unit";"Hydralisk";"Larva";410
"Unit";"Hydralisk";"Larva";412
"Unit";"Zergling";"Larva";414
"Unit";"Zergling";"Larva";415
"Unit";"Zergling";"Larva";416
"Unit";"Zergling";"Larva";417
"Unit";"Zergling";"Larva";418
"Unit";"Zergling";"Larva";419
"Unit";"Zergling";"Larva";420
"Unit";"Zergling";"Larva";421
"Unit";"Zergling";"Larva";422
"Unit";"Zergling";"Larva";423
"Unit";"Zergling";"Larva";424
"Unit";"Zergling";"Larva";425
"Unit";"Zergling";"Larva";426
"Unit";"Zergling";"Larva";427
"Unit";"Zergling";"Larva";428
"Unit";"Zergling";"Larva";429
"Unit";"Zergling";"Larva";430
"Unit";"Zergling";"Larva";431
"Unit";"Zergling";"Larva";432
"Unit";"Zergling";"Larva";433
"Unit";"Zergling";"Larva";434
"Unit";"Zergling";"Larva";435
"Unit";"Zergling";"Larva";436
"Unit";"Zergling";"Larva";437
"Unit";"Zergling";"Larva";438
"Unit";"Zergling";"Larva";439
"Unit";"Hydralisk";"Larva";440
"Unit";"Hydralisk";"Larva";442
"Unit";"Hydralisk";"Larva";444
"Unit";"Hydralisk";"Larva";446
"Unit";"Hydralisk";"Larva";448
"Unit";"Hydralisk";"Larva";450
"Unit";"Zergling";"Larva";452
"Unit";"Zergling";"Larva";453
"Unit";"Zergling";"Larva";454
"Unit";"Zergling";"Larva";455
"Unit";"Hydralisk";"Larva";456
"Unit";"Hydralisk";"Larva";458
"Unit";"Zergling";"Larva";460
"Unit";"Zergling";"Larva";461
"Unit";"Hydralisk";"Larva";462
"Unit";"Hydralisk";"Larva";464
"Building";"CreepTumor";NA;466
"Building";"CreepTumor";NA;466
"Unit";"Zergling";"Larva";466
