"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"SpawningPool";NA;17
"Building";"Extractor";NA;19
"Building";"Hatchery";NA;20
"Unit";"Queen";"Hatchery";20
"Unit";"Zergling";"Larva";22
"Unit";"Zergling";"Larva";23
"Unit";"Overlord";"Larva";25
"Building";"BanelingNest";NA;25
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Zergling";"Larva";27
"Unit";"Zergling";"Larva";28
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";30
"Building";"SpineCrawler";NA;31
"Unit";"Queen";"Hatchery";31
"Unit";"Baneling";"Zergling";34
"Unit";"Baneling";"Zergling";34
"Unit";"Baneling";"Zergling";34
"Unit";"Baneling";"Zergling";34
"Building";"CreepTumorQueen";NA;39
"Unit";"Zergling";"Larva";40
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Unit";"Zergling";"Larva";43
"Building";"Hatchery";NA;45
"Building";"CreepTumor";NA;45
"Unit";"Overlord";"Larva";45
"Unit";"Zergling";"Larva";45
"Unit";"Zergling";"Larva";46
"Building";"CreepTumor";NA;48
"Building";"Hatchery";NA;50
"Unit";"Queen";"Hatchery";51
"Unit";"Overlord";"Larva";53
"Building";"CreepTumor";NA;56
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Building";"CreepTumorQueen";NA;60
"Unit";"Queen";"Hatchery";60
"Unit";"Zergling";"Larva";62
"Unit";"Zergling";"Larva";63
"Building";"CreepTumorQueen";NA;69
"Building";"CreepTumor";NA;70
"Building";"CreepTumor";NA;70
"Building";"EvolutionChamber";NA;70
"Building";"RoachWarren";NA;70
"Building";"Extractor";NA;76
"Building";"Extractor";NA;77
"Unit";"Overlord";"Larva";86
"Unit";"Zergling";"Larva";86
"Unit";"Zergling";"Larva";87
"Unit";"Zergling";"Larva";88
"Unit";"Zergling";"Larva";89
"Unit";"Overlord";"Larva";90
"Building";"CreepTumor";NA;90
"Building";"CreepTumor";NA;90
"Building";"CreepTumor";NA;90
"Unit";"Roach";"Larva";90
"Unit";"Roach";"Larva";92
"Unit";"Roach";"Larva";94
"Unit";"Roach";"Larva";96
"Unit";"Baneling";"Zergling";98
"Unit";"Baneling";"Zergling";98
"Unit";"Overlord";"Larva";98
"Building";"CreepTumorQueen";NA;98
"Unit";"Overlord";"Larva";98
"Building";"Extractor";NA;98
"Unit";"Overlord";"Larva";98
"Building";"Extractor";NA;106
"Upgrade";"GlialReconstitution";"RoachWarren";106
"Unit";"Overlord";"Larva";111
"Building";"InfestationPit";NA;113
"Building";"CreepTumor";NA;116
