"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Building";"Refinery";NA;14;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Building";"GhostAcademy";NA;18;0
"Unit";"Reaper";"Barracks";18;1
"Unit";"SCV";"Command Center";18;1
"Unit";"SCV";"Command Center";20;1
"Building";"BarracksTechLab";NA;19;0
"Building";"SupplyDepot";NA;20;0
"Building";"SupplyDepot";NA;20;0
"Unit";"SCV";"Command Center";21;1
"Upgrade";"PersonalCloaking";"GhostAcademy";21;0
"Unit";"SCV";"Command Center";22;1
"Building";"Factory";NA;22;0
"Unit";"SCV";"Command Center";23;1
"Unit";"SCV";"Command Center";23;1
"Building";"FactoryReactor";NA;23;0
"Building";"Factory";NA;23;0
"Unit";"SCV";"Command Center";25;1
"Building";"CommandCenter";NA;22;0
"Unit";"Hellion";"Factory";25;2
"Unit";"Hellion";"Factory";25;2
"Building";"SupplyDepot";NA;25;0
"Building";"FactoryTechLab";NA;26;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";28;2
"Building";"Armory";NA;25;0
"Unit";"Hellion";"Factory";30;2
"Building";"SupplyDepot";NA;34;0
"Unit";"SCV";"Command Center";34;1
"Unit";"SCV";"Command Center";34;1
"Unit";"SCV";"Command Center";36;1
"Unit";"SCV";"Command Center";38;1
"Unit";"SCV";"Command Center";38;1
"Unit";"Hellion";"Factory";38;2
"Unit";"Hellion";"Factory";38;2
"Building";"Bunker";NA;38;0
"Unit";"SCV";"Command Center";39;1
"Unit";"SCV";"Command Center";40;1
"Unit";"Hellion";"Factory";45;2
"Building";"Refinery";NA;45;0
"Unit";"Hellion";"Factory";45;2
"Unit";"SCV";"Command Center";47;1
"Unit";"SCV";"Command Center";47;1
"Building";"SupplyDepot";NA;47;0
"Building";"Factory";NA;45;0
"Unit";"Hellion";"Factory";47;2
"Unit";"SCV";"Command Center";53;1
"Unit";"Hellion";"Factory";52;2
"Unit";"SCV";"Command Center";53;1
"Building";"Refinery";NA;53;0
"Unit";"SCV";"Command Center";55;1
"Unit";"Hellion";"Factory";55;2
"Unit";"SCV";"Command Center";58;1
"Upgrade";"TerranVehicleAndShipArmorsLevel1";"Armory";39;0
"Unit";"Hellion";"Factory";55;2
"Unit";"SCV";"Command Center";59;1
"Building";"FactoryTechLab";NA;59;0
"Building";"CommandCenter";NA;47;0
"Unit";"SCV";"Command Center";62;1
"Unit";"SCV";"Command Center";65;1
"Building";"SupplyDepot";NA;63;0
"Unit";"Hellion";"Factory";63;2
"Unit";"Hellion";"Factory";63;2
"Unit";"SCV";"Command Center";68;1
"Unit";"Hellion";"Factory";68;2
"Unit";"Hellion";"Factory";70;2
"Unit";"Hellion";"Factory";72;2
"Unit";"SCV";"Command Center";77;1
"Unit";"SCV";"Command Center";77;1
"Unit";"Hellion";"Factory";73;2
"Building";"Refinery";NA;75;0
