"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";22;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";30;1
"Unit";"Zergling";"Larva";30;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Queen";"Hatchery";38;2
"Unit";"Overlord";"Larva";45;0
"Unit";"Overlord";"Larva";45;0
"Building";"Extractor";NA;52;0
"Building";"Extractor";NA;52;0
"Unit";"Overlord";"Larva";59;0
"Unit";"Overlord";"Larva";63;0
"Unit";"Overlord";"Larva";71;0
"Building";"Hatchery";NA;62;0
"Unit";"Overlord";"Larva";71;0
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";74;1
"Building";"Extractor";NA;74;0
"Building";"SpineCrawler";NA;74;0
"Building";"Spire";NA;67;0
"Building";"SpineCrawler";NA;94;0
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Mutalisk";"Larva";98;2
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Mutalisk";"Larva";114;2
"Unit";"Queen";"Hatchery";122;2
"Unit";"Overlord";"Larva";136;0
"Unit";"Overlord";"Larva";136;0
"Unit";"Overlord";"Larva";136;0
"Unit";"Overlord";"Larva";136;0
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Mutalisk";"Larva";155;2
"Unit";"Mutalisk";"Larva";159;2
"Unit";"Mutalisk";"Larva";159;2
"Unit";"Mutalisk";"Larva";159;2
"Unit";"Mutalisk";"Larva";159;2
"Unit";"Overlord";"Larva";161;0
"Unit";"Overlord";"Larva";165;0
"Unit";"Overlord";"Larva";167;0
"Unit";"Mutalisk";"Larva";165;2
"Unit";"Mutalisk";"Larva";173;2
"Unit";"Mutalisk";"Larva";175;2
"Unit";"Mutalisk";"Larva";175;2
"Building";"Hatchery";NA;159;0
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
