"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Building";"Refinery";NA;19;0
"Unit";"SCV";"Command Center";20;1
"Unit";"SCV";"Command Center";21;1
"Building";"SupplyDepot";NA;21;0
"Building";"BarracksTechLab";NA;22;0
"Unit";"SCV";"Command Center";23;1
"Building";"CommandCenter";NA;19;0
"Building";"Barracks";NA;21;0
"Unit";"Marauder";"Barracks";23;2
"Unit";"SCV";"Command Center";24;1
"Building";"Barracks";NA;22;0
"Building";"BarracksTechLab";NA;26;0
"Unit";"SCV";"Command Center";27;1
"Unit";"Marauder";"Barracks";27;2
"Building";"Barracks";NA;24;0
"Building";"BarracksTechLab";NA;27;0
"Unit";"Marauder";"Barracks";28;2
"Unit";"SCV";"Command Center";30;1
"Unit";"SCV";"Command Center";30;1
"Building";"BarracksTechLab";NA;30;0
"Building";"SupplyDepot";NA;30;0
"Unit";"Marauder";"Barracks";30;2
"Unit";"Marauder";"Barracks";30;2
"Unit";"SCV";"Command Center";32;1
"Unit";"SCV";"Command Center";33;1
"Unit";"Marauder";"Barracks";32;2
"Building";"SupplyDepot";NA;34;0
"Unit";"SCV";"Command Center";38;1
"Unit";"Marauder";"Barracks";34;2
"Unit";"SCV";"Command Center";40;1
"Unit";"Marauder";"Barracks";38;2
"Unit";"Marauder";"Barracks";40;2
"Unit";"SCV";"Command Center";45;1
"Unit";"Marauder";"Barracks";42;2
"Unit";"SCV";"Command Center";48;1
"Unit";"SCV";"Command Center";50;1
"Unit";"Marauder";"Barracks";46;2
"Building";"SupplyDepot";NA;46;0
