"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;25;0
"Building";"Stargate";NA;23;0
"Building";"Nexus";NA;23;0
"Unit";"Sentry";"Gateway";26;2
"Building";"Forge";NA;26;0
"Building";"ShieldBattery";NA;35;0
"Building";"Assimilator";NA;37;0
"Unit";"Oracle";"Stargate";38;3
"Building";"Pylon";NA;42;0
"Building";"Pylon";NA;42;0
"Building";"PhotonCannon";NA;42;0
"Building";"PhotonCannon";NA;45;0
"Building";"CyberneticsCore";NA;42;0
"Building";"Pylon";NA;45;0
