"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";22;2
"Building";"TwilightCouncil";NA;22;0
"Building";"RoboticsFacility";NA;22;0
"Building";"Gateway";NA;25;0
"Building";"Gateway";NA;25;0
"Building";"Pylon";NA;25;0
"Building";"DarkShrine";NA;25;0
"Building";"Gateway";NA;25;0
"Building";"DarkTemplar";NA;25;0
"Building";"DarkTemplar";NA;25;0
"Building";"DarkTemplar";NA;25;0
"Building";"Gateway";NA;25;0
"Building";"Pylon";NA;25;0
"Building";"DarkTemplar";NA;25;0
"Unit";"Stalker";"Gateway";25;2
"Unit";"Stalker";"Gateway";25;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Archon";"High Templar";25;0
