"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;14;0
"Unit";"Zealot";"Gateway";17;2
"Building";"Gateway";NA;17;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;21;0
"Unit";"Stalker";"Gateway";21;2
"Building";"ShieldBattery";NA;21;0
"Unit";"Stalker";"Gateway";21;2
"Building";"Pylon";NA;23;0
"Building";"ShieldBattery";NA;23;0
"Unit";"Stalker";"Gateway";23;2
"Building";"Pylon";NA;25;0
"Building";"Gateway";NA;28;0
"Building";"Gateway";NA;29;0
"Building";"Pylon";NA;30;0
"Unit";"Stalker";"Gateway";31;2
"Unit";"Stalker";"Gateway";31;2
"Building";"Gateway";NA;30;0
"Building";"Gateway";NA;30;0
"Building";"ShieldBattery";NA;31;0
"Building";"Assimilator";NA;35;0
"Building";"Pylon";NA;35;0
"Building";"Pylon";NA;35;0
"Building";"Forge";NA;35;0
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";43;2
"Unit";"Stalker";"Gateway";43;2
"Unit";"Stalker";"Gateway";43;2
"Building";"PhotonCannon";NA;35;0
