"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;17
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";22
"Unit";"Queen";"Hatchery";23
"Unit";"Queen";"Hatchery";25
"Unit";"Zergling";"Larva";33
"Unit";"Zergling";"Larva";34
"Building";"Hatchery";NA;35
"Unit";"Queen";"Hatchery";35
"Unit";"Overlord";"Larva";37
"Building";"BanelingNest";NA;38
"Unit";"Zergling";"Larva";40
"Unit";"Zergling";"Larva";41
"Building";"CreepTumorQueen";NA;45
"Unit";"Overlord";"Larva";50
"Unit";"Zergling";"Larva";50
"Unit";"Zergling";"Larva";51
"Building";"EvolutionChamber";NA;52
"Unit";"Zergling";"Larva";52
"Unit";"Zergling";"Larva";53
"Building";"CreepTumor";NA;54
"Unit";"Overlord";"Larva";54
"Unit";"Zergling";"Larva";54
"Unit";"Zergling";"Larva";55
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Unit";"Baneling";"Zergling";66
"Unit";"Overlord";"Larva";67
"Building";"CreepTumor";NA;69
"Unit";"Baneling";"Zergling";70
"Unit";"Baneling";"Zergling";70
"Building";"RoachWarren";NA;70
"Unit";"Zergling";"Larva";70
"Unit";"Zergling";"Larva";71
"Unit";"Zergling";"Larva";72
"Unit";"Zergling";"Larva";73
"Unit";"Zergling";"Larva";74
"Unit";"Zergling";"Larva";75
"Building";"Extractor";NA;76
"Unit";"Baneling";"Zergling";77
"Unit";"Baneling";"Zergling";80
"Unit";"Zergling";"Larva";80
"Unit";"Zergling";"Larva";81
"Unit";"Zergling";"Larva";82
"Unit";"Zergling";"Larva";83
"Unit";"Overlord";"Larva";84
"Building";"Extractor";NA;86
"Unit";"Overlord";"Larva";86
"Unit";"Zergling";"Larva";86
"Unit";"Zergling";"Larva";87
"Unit";"Zergling";"Larva";88
"Unit";"Zergling";"Larva";89
"Unit";"Zergling";"Larva";90
"Unit";"Zergling";"Larva";91
"Unit";"Overlord";"Larva";92
"Unit";"Overlord";"Larva";93
"Unit";"Overlord";"Larva";95
"Building";"Extractor";NA;95
"Unit";"Roach";"Larva";95
"Unit";"Roach";"Larva";97
"Unit";"Roach";"Larva";99
"Unit";"Roach";"Larva";101
"Unit";"Roach";"Larva";103
"Unit";"Roach";"Larva";105
"Unit";"Overlord";"Larva";107
"Unit";"Roach";"Larva";107
"Unit";"Roach";"Larva";109
"Unit";"Roach";"Larva";111
"Unit";"Roach";"Larva";113
"Unit";"Roach";"Larva";115
"Unit";"Roach";"Larva";117
"Unit";"Roach";"Larva";119
"Unit";"Overlord";"Larva";121
"Unit";"Overlord";"Larva";121
"Building";"CreepTumor";NA;121
"Unit";"Roach";"Larva";121
"Unit";"Roach";"Larva";123
"Unit";"Roach";"Larva";125
"Unit";"Roach";"Larva";127
"Unit";"Roach";"Larva";129
"Unit";"Roach";"Larva";131
"Unit";"Roach";"Larva";133
"Unit";"Roach";"Larva";135
"Unit";"Overlord";"Larva";137
"Unit";"Roach";"Larva";137
"Unit";"Roach";"Larva";139
"Unit";"Roach";"Larva";141
"Unit";"Roach";"Larva";143
"Unit";"Roach";"Larva";145
"Unit";"Roach";"Larva";147
"Unit";"Roach";"Larva";149
"Unit";"Overlord";"Larva";151
"Unit";"Overlord";"Larva";151
"Building";"Extractor";NA;154
"Unit";"Overlord";"Larva";155
"Unit";"Overlord";"Larva";155
"Unit";"Overlord";"Larva";164
"Unit";"Overlord";"Larva";164
"Upgrade";"GlialReconstitution";"RoachWarren";164
"Unit";"Roach";"Larva";164
"Unit";"Roach";"Larva";166
"Unit";"Roach";"Larva";168
"Unit";"Roach";"Larva";170
"Unit";"Roach";"Larva";172
"Unit";"Roach";"Larva";174
"Unit";"Roach";"Larva";176
"Unit";"Roach";"Larva";178
"Unit";"Roach";"Larva";180
"Unit";"Queen";"Hatchery";182
"Unit";"Overlord";"Larva";184
"Building";"Extractor";NA;188
"Unit";"Overlord";"Larva";188
"Unit";"Roach";"Larva";191
"Unit";"Roach";"Larva";193
"Unit";"Roach";"Larva";195
"Unit";"Overlord";"Larva";197
"Unit";"Roach";"Larva";197
"Unit";"Roach";"Larva";199
"Unit";"Roach";"Larva";201
"Unit";"Roach";"Larva";203
"Unit";"Roach";"Larva";205
"Unit";"Roach";"Larva";207
"Unit";"Roach";"Larva";209
"Unit";"Roach";"Larva";211
"Unit";"Roach";"Larva";213
"Unit";"Roach";"Larva";215
"Unit";"Roach";"Larva";217
"Unit";"Overlord";"Larva";219
"Unit";"Roach";"Larva";219
"Unit";"Roach";"Larva";221
"Unit";"Roach";"Larva";223
"Unit";"Roach";"Larva";225
"Unit";"Roach";"Larva";227
"Unit";"Overlord";"Larva";229
"Unit";"Roach";"Larva";229
"Unit";"Roach";"Larva";231
"Unit";"Roach";"Larva";233
"Unit";"Roach";"Larva";235
"Unit";"Roach";"Larva";237
"Building";"HydraliskDen";NA;239
"Unit";"Roach";"Larva";239
"Upgrade";"SprayZerg";NA;242
"Upgrade";"SprayZerg";NA;242
"Upgrade";"SprayZerg";NA;242
"Upgrade";"zerglingmovementspeed";NA;242
"Upgrade";"SprayZerg";NA;242
"Upgrade";"ZergMissileWeaponsLevel1";NA;242
"Upgrade";"SprayZerg";NA;242
"Upgrade";"overlordspeed";NA;242
"Upgrade";"ZergMissileWeaponsLevel2";NA;242
