"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";14
"Building";"Hatchery";NA;15
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Building";"Hatchery";NA;25
"Unit";"Queen";"Hatchery";25
"Unit";"Overlord";"Larva";28
"Unit";"Queen";"Hatchery";30
"Unit";"Overlord";"Larva";35
"Unit";"Overlord";"Larva";37
"Unit";"Overlord";"Larva";37
"Unit";"Queen";"Hatchery";37
"Unit";"Queen";"Hatchery";45
"Unit";"Overlord";"Larva";50
"Unit";"Zergling";"Larva";52
"Unit";"Zergling";"Larva";53
"Unit";"Zergling";"Larva";54
"Unit";"Zergling";"Larva";55
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Unit";"Zergling";"Larva";60
"Unit";"Zergling";"Larva";61
"Building";"Extractor";NA;65
"Building";"RoachWarren";NA;65
"Unit";"Zergling";"Larva";65
"Unit";"Zergling";"Larva";66
"Unit";"Zergling";"Larva";67
"Unit";"Zergling";"Larva";68
"Unit";"Zergling";"Larva";69
"Unit";"Zergling";"Larva";70
"Unit";"Zergling";"Larva";71
"Unit";"Zergling";"Larva";72
"Unit";"Overlord";"Larva";75
"Unit";"Overlord";"Larva";81
"Unit";"Overlord";"Larva";81
"Unit";"Overlord";"Larva";81
"Unit";"Zergling";"Larva";81
"Unit";"Zergling";"Larva";82
"Unit";"Zergling";"Larva";83
"Unit";"Zergling";"Larva";84
"Unit";"Zergling";"Larva";85
"Unit";"Zergling";"Larva";86
"Building";"CreepTumorQueen";NA;87
"Unit";"Roach";"Larva";87
"Unit";"Roach";"Larva";89
"Unit";"Roach";"Larva";91
"Unit";"Overlord";"Larva";93
"Unit";"Overlord";"Larva";93
"Unit";"Roach";"Larva";93
"Unit";"Roach";"Larva";95
"Unit";"Roach";"Larva";97
"Building";"CreepTumorQueen";NA;99
"Unit";"Roach";"Larva";99
"Unit";"Roach";"Larva";101
"Unit";"Roach";"Larva";103
"Unit";"Roach";"Larva";105
"Unit";"Roach";"Larva";107
"Unit";"Roach";"Larva";109
"Unit";"Roach";"Larva";111
"Unit";"Roach";"Larva";113
"Unit";"Zergling";"Larva";115
"Unit";"Zergling";"Larva";116
"Unit";"Overlord";"Larva";117
"Unit";"Zergling";"Larva";117
"Unit";"Zergling";"Larva";118
"Unit";"Zergling";"Larva";119
"Unit";"Zergling";"Larva";120
"Unit";"Zergling";"Larva";121
"Unit";"Zergling";"Larva";122
"Building";"CreepTumor";NA;123
"Building";"CreepTumor";NA;123
"Unit";"Zergling";"Larva";123
"Unit";"Zergling";"Larva";124
"Unit";"Zergling";"Larva";125
"Unit";"Zergling";"Larva";126
"Unit";"Zergling";"Larva";127
"Unit";"Zergling";"Larva";128
"Unit";"Zergling";"Larva";129
"Unit";"Zergling";"Larva";130
"Unit";"Overlord";"Larva";131
"Unit";"Zergling";"Larva";131
"Unit";"Zergling";"Larva";132
"Unit";"Zergling";"Larva";133
"Unit";"Zergling";"Larva";134
"Unit";"Zergling";"Larva";135
"Unit";"Zergling";"Larva";136
"Unit";"Zergling";"Larva";137
"Unit";"Zergling";"Larva";138
"Unit";"Overlord";"Larva";139
"Unit";"Zergling";"Larva";139
"Unit";"Zergling";"Larva";140
"Unit";"Zergling";"Larva";141
"Unit";"Zergling";"Larva";142
"Unit";"Overlord";"Larva";143
"Unit";"Zergling";"Larva";143
"Unit";"Zergling";"Larva";144
"Unit";"Zergling";"Larva";145
"Unit";"Zergling";"Larva";146
"Unit";"Zergling";"Larva";147
"Unit";"Zergling";"Larva";148
"Building";"Hatchery";NA;149
"Unit";"Zergling";"Larva";149
"Unit";"Zergling";"Larva";150
"Unit";"Zergling";"Larva";151
"Unit";"Zergling";"Larva";152
"Unit";"Zergling";"Larva";153
"Unit";"Zergling";"Larva";154
"Unit";"Zergling";"Larva";155
"Unit";"Zergling";"Larva";156
"Unit";"Zergling";"Larva";157
"Unit";"Zergling";"Larva";158
"Unit";"Zergling";"Larva";159
"Unit";"Zergling";"Larva";160
"Unit";"Zergling";"Larva";161
"Unit";"Zergling";"Larva";162
"Unit";"Zergling";"Larva";163
"Unit";"Zergling";"Larva";164
"Unit";"Zergling";"Larva";165
"Unit";"Zergling";"Larva";166
"Unit";"Zergling";"Larva";167
"Unit";"Zergling";"Larva";168
"Unit";"Zergling";"Larva";169
"Unit";"Zergling";"Larva";170
"Unit";"Zergling";"Larva";171
"Unit";"Zergling";"Larva";172
"Unit";"Zergling";"Larva";173
"Unit";"Zergling";"Larva";174
"Unit";"Zergling";"Larva";175
"Unit";"Zergling";"Larva";176
"Unit";"Zergling";"Larva";177
"Unit";"Zergling";"Larva";178
"Unit";"Zergling";"Larva";179
"Unit";"Zergling";"Larva";180
"Unit";"Zergling";"Larva";181
"Unit";"Zergling";"Larva";182
"Building";"EvolutionChamber";NA;187
"Building";"BanelingNest";NA;189
"Building";"Hatchery";NA;189
"Building";"Extractor";NA;201
"Building";"Extractor";NA;201
"Unit";"Overlord";"Larva";201
"Building";"Extractor";NA;201
"Building";"Extractor";NA;201
"Building";"SporeCrawler";NA;202
"Building";"SporeCrawler";NA;203
"Building";"SporeCrawler";NA;207
"Unit";"Zergling";"Larva";207
"Unit";"Zergling";"Larva";208
"Unit";"Zergling";"Larva";209
"Unit";"Zergling";"Larva";210
"Unit";"Zergling";"Larva";211
"Unit";"Zergling";"Larva";212
"Unit";"Zergling";"Larva";213
"Unit";"Zergling";"Larva";214
"Unit";"Zergling";"Larva";215
"Unit";"Zergling";"Larva";216
"Unit";"Zergling";"Larva";217
"Unit";"Zergling";"Larva";218
"Unit";"Zergling";"Larva";219
"Unit";"Zergling";"Larva";220
"Unit";"Zergling";"Larva";221
"Unit";"Zergling";"Larva";222
"Unit";"Overlord";"Larva";223
"Unit";"Roach";"Larva";223
"Unit";"Roach";"Larva";225
"Unit";"Zergling";"Larva";227
"Unit";"Zergling";"Larva";228
"Unit";"Zergling";"Larva";229
"Unit";"Zergling";"Larva";230
"Unit";"Zergling";"Larva";231
"Unit";"Zergling";"Larva";232
"Unit";"Zergling";"Larva";233
"Unit";"Zergling";"Larva";234
"Unit";"Zergling";"Larva";235
"Unit";"Zergling";"Larva";236
"Building";"CreepTumor";NA;237
"Building";"Hatchery";NA;240
"Building";"Spire";NA;244
"Unit";"Queen";"Hatchery";244
"Unit";"Zergling";"Larva";246
"Unit";"Zergling";"Larva";247
"Unit";"Zergling";"Larva";248
"Unit";"Zergling";"Larva";249
"Unit";"Zergling";"Larva";250
"Unit";"Zergling";"Larva";251
"Unit";"Zergling";"Larva";252
"Unit";"Zergling";"Larva";253
"Unit";"Roach";"Larva";254
"Unit";"Roach";"Larva";256
"Unit";"Zergling";"Larva";258
"Unit";"Zergling";"Larva";259
"Unit";"Zergling";"Larva";260
"Unit";"Zergling";"Larva";261
"Unit";"Overlord";"Larva";270
"Unit";"Zergling";"Larva";270
"Unit";"Zergling";"Larva";271
"Unit";"Zergling";"Larva";272
"Unit";"Zergling";"Larva";273
"Unit";"Roach";"Larva";274
"Unit";"Roach";"Larva";276
"Unit";"Roach";"Larva";278
"Unit";"Roach";"Larva";280
"Unit";"Roach";"Larva";282
"Unit";"Overlord";"Larva";284
"Unit";"Zergling";"Larva";284
"Unit";"Zergling";"Larva";285
"Unit";"Zergling";"Larva";286
"Unit";"Zergling";"Larva";287
"Unit";"Zergling";"Larva";288
"Unit";"Zergling";"Larva";289
"Unit";"Zergling";"Larva";290
"Unit";"Zergling";"Larva";291
"Unit";"Zergling";"Larva";292
"Unit";"Zergling";"Larva";293
"Unit";"Zergling";"Larva";294
"Unit";"Zergling";"Larva";295
"Unit";"Zergling";"Larva";296
"Unit";"Zergling";"Larva";297
"Unit";"Zergling";"Larva";298
"Unit";"Zergling";"Larva";299
"Unit";"Zergling";"Larva";300
"Unit";"Zergling";"Larva";301
"Unit";"Zergling";"Larva";302
"Unit";"Zergling";"Larva";303
"Unit";"Zergling";"Larva";304
"Unit";"Zergling";"Larva";305
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Baneling";"Zergling";306
"Unit";"Zergling";"Larva";306
"Unit";"Zergling";"Larva";307
"Unit";"Zergling";"Larva";308
"Unit";"Zergling";"Larva";309
"Unit";"Overlord";"Larva";310
"Unit";"Overlord";"Larva";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Baneling";"Zergling";310
"Unit";"Zergling";"Larva";310
"Unit";"Zergling";"Larva";311
"Upgrade";"GlialReconstitution";"RoachWarren";312
"Unit";"Zergling";"Larva";312
"Unit";"Zergling";"Larva";313
"Unit";"Zergling";"Larva";314
"Unit";"Zergling";"Larva";315
"Unit";"Zergling";"Larva";316
"Unit";"Zergling";"Larva";317
"Unit";"Zergling";"Larva";318
"Unit";"Zergling";"Larva";319
"Unit";"Zergling";"Larva";320
"Unit";"Zergling";"Larva";321
"Unit";"Zergling";"Larva";322
"Unit";"Zergling";"Larva";323
"Unit";"Zergling";"Larva";324
"Unit";"Zergling";"Larva";325
"Unit";"Zergling";"Larva";326
"Unit";"Zergling";"Larva";327
