"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Unit";"Overlord";"Larva";21;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Queen";"Hatchery";22;2
"Building";"SporeCrawler";NA;36;0
"Building";"CreepTumorQueen";NA;36;0
"Unit";"Overlord";"Larva";36;0
"Unit";"Queen";"Hatchery";36;2
"Building";"CreepTumorQueen";NA;39;0
"Building";"CreepTumor";NA;48;0
"Building";"CreepTumor";NA;48;0
"Unit";"Zergling";"Larva";43;1
"Unit";"Zergling";"Larva";43;1
"Unit";"Overlord";"Larva";48;0
"Unit";"Queen";"Hatchery";43;2
"Unit";"Overlord";"Larva";51;0
"Building";"Hatchery";NA;39;0
"Building";"CreepTumor";NA;53;0
"Building";"Extractor";NA;51;0
"Unit";"Overlord";"Larva";53;0
"Unit";"Overlord";"Larva";53;0
"Unit";"Overlord";"Larva";60;0
"Unit";"Overlord";"Larva";60;0
"Building";"CreepTumor";NA;61;0
"Building";"RoachWarren";NA;60;0
"Unit";"Queen";"Hatchery";60;2
"Building";"CreepTumor";NA;62;0
"Building";"EvolutionChamber";NA;61;0
"Building";"EvolutionChamber";NA;61;0
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";67;1
"Building";"SporeCrawler";NA;69;0
"Unit";"Overlord";"Larva";89;0
"Building";"Extractor";NA;89;0
"Building";"CreepTumor";NA;89;0
"Building";"Extractor";NA;89;0
"Unit";"Queen";"Hatchery";81;2
"Building";"CreepTumorQueen";NA;89;0
"Building";"CreepTumorQueen";NA;89;0
"Unit";"Overlord";"Larva";101;0
"Unit";"Overlord";"Larva";101;0
"Building";"Extractor";NA;106;0
"Building";"Extractor";NA;106;0
"Building";"CreepTumor";NA;106;0
"Building";"CreepTumor";NA;106;0
"Unit";"Overlord";"Larva";106;0
"Building";"CreepTumorQueen";NA;111;0
"Building";"CreepTumor";NA;111;0
"Building";"BanelingNest";NA;106;0
"Building";"CreepTumorQueen";NA;111;0
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Building";"Hatchery";NA;91;0
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";111;1
"Building";"CreepTumorQueen";NA;111;0
"Building";"CreepTumorQueen";NA;111;0
"Upgrade";"ZergGroundArmorsLevel1";"EvolutionChamber";89;0
"Building";"CreepTumorQueen";NA;111;0
"Building";"CreepTumorQueen";NA;111;0
"Unit";"Overlord";"Larva";111;0
"Upgrade";"ZergMeleeWeaponsLevel1";"EvolutionChamber";106;0
"Unit";"Overlord";"Larva";133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumorQueen";NA;143;0
"Unit";"Baneling";"Zergling";143;0
"Unit";"Baneling";"Zergling";143;0
"Unit";"Baneling";"Zergling";143;0
"Unit";"Baneling";"Zergling";143;0
"Building";"Spire";NA;111;0
"Building";"Hatchery";NA;111;0
"Building";"Hatchery";NA;111;0
"Building";"CreepTumorQueen";NA;143;0
"Unit";"Overlord";"Larva";143;0
"Building";"CreepTumorQueen";NA;143;0
"Building";"Extractor";NA;143;0
"Building";"Extractor";NA;143;0
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Unit";"Mutalisk";"Larva";143;2
"Building";"CreepTumor";NA;165;0
"Building";"CreepTumor";NA;165;0
"Building";"CreepTumorQueen";NA;165;0
"Building";"CreepTumorQueen";NA;165;0
"Building";"CreepTumorQueen";NA;165;0
"Building";"CreepTumorQueen";NA;173;0
"Unit";"Zergling";"Larva";165;1
"Unit";"Zergling";"Larva";165;1
"Unit";"Zergling";"Larva";165;1
"Unit";"Zergling";"Larva";165;1
